from,to,type,weight
g136,g227,GENE-GENE,0.177936596
g254,g227,GENE-GENE,0.184449799
g112,g113,GENE-GENE,0.181651384
g235,g113,GENE-GENE,0.181651384
g323,g322,GENE-GENE,0.179393003
g256,g255,GENE-GENE,0.190779188
g324,g255,GENE-GENE,0.179480765
g221,g168,GENE-GENE,0.181651384
g167,g168,GENE-GENE,0.181651384
g157,g67,GENE-GENE,0.181651384
g350,g67,GENE-GENE,0.181651384
g66,g67,GENE-GENE,0.181651384
g143,g164,GENE-GENE,0.179480765
g134,g164,GENE-GENE,0.179480765
g165,g164,GENE-GENE,0.179480765
g71,g284,GENE-GENE,0.179480765
g215,g321,GENE-GENE,0.188393944
g204,g197,GENE-GENE,0.198962589
g184,g197,GENE-GENE,0.198962589
g195,g197,GENE-GENE,0.198962589
g188,g197,GENE-GENE,0.198962589
g199,g197,GENE-GENE,0.198962589
g189,g197,GENE-GENE,0.219952048
g181,g197,GENE-GENE,0.198962589
g182,g197,GENE-GENE,0.198962589
g198,g197,GENE-GENE,0.198962589
g192,g197,GENE-GENE,0.198962589
g190,g197,GENE-GENE,0.198962589
g207,g197,GENE-GENE,0.198962589
g183,g197,GENE-GENE,0.198962589
g42,g16,GENE-GENE,0.182744085
g95,g81,GENE-GENE,0.188393944
g296,g302,GENE-GENE,0.179480765
g300,g302,GENE-GENE,0.179480765
g301,g302,GENE-GENE,0.179480765
g295,g302,GENE-GENE,0.179480765
g188,g203,GENE-GENE,0.198962589
g195,g203,GENE-GENE,0.198962589
g190,g203,GENE-GENE,0.198962589
g181,g203,GENE-GENE,0.198962589
g207,g203,GENE-GENE,0.198962589
g184,g203,GENE-GENE,0.198962589
g198,g203,GENE-GENE,0.198962589
g197,g203,GENE-GENE,0.198962589
g192,g203,GENE-GENE,0.198962589
g183,g203,GENE-GENE,0.198962589
g199,g203,GENE-GENE,0.198962589
g189,g203,GENE-GENE,0.219952048
g182,g203,GENE-GENE,0.198962589
g204,g203,GENE-GENE,0.198962589
g88,g17,GENE-GENE,0.188393944
g30,g29,GENE-GENE,0.188393944
g240,g100,GENE-GENE,0.181069956
g288,g100,GENE-GENE,0.183402717
g1,g234,GENE-GENE,0.180665348
g62,g63,GENE-GENE,0.188393944
g173,g152,GENE-GENE,0.195136504
g181,g209,GENE-GENE,0.198962589
g207,g209,GENE-GENE,0.198962589
g190,g209,GENE-GENE,0.198962589
g192,g209,GENE-GENE,0.198962589
g184,g209,GENE-GENE,0.198962589
g197,g209,GENE-GENE,0.198962589
g195,g209,GENE-GENE,0.198962589
g183,g209,GENE-GENE,0.198962589
g204,g209,GENE-GENE,0.198962589
g198,g209,GENE-GENE,0.198962589
g189,g209,GENE-GENE,0.219952048
g182,g209,GENE-GENE,0.198962589
g188,g209,GENE-GENE,0.198962589
g199,g209,GENE-GENE,0.198962589
g203,g209,GENE-GENE,0.198962589
g203,g187,GENE-GENE,0.198962589
g192,g187,GENE-GENE,0.198962589
g199,g187,GENE-GENE,0.198962589
g209,g187,GENE-GENE,0.198962589
g184,g187,GENE-GENE,0.198962589
g188,g187,GENE-GENE,0.198962589
g190,g187,GENE-GENE,0.198962589
g189,g187,GENE-GENE,0.219952048
g181,g187,GENE-GENE,0.198962589
g204,g187,GENE-GENE,0.198962589
g198,g187,GENE-GENE,0.198962589
g197,g187,GENE-GENE,0.198962589
g183,g187,GENE-GENE,0.198962589
g195,g187,GENE-GENE,0.198962589
g207,g187,GENE-GENE,0.198962589
g182,g187,GENE-GENE,0.198962589
g192,g194,GENE-GENE,0.198962589
g189,g194,GENE-GENE,0.219952048
g199,g194,GENE-GENE,0.198962589
g182,g194,GENE-GENE,0.198962589
g184,g194,GENE-GENE,0.198962589
g195,g194,GENE-GENE,0.198962589
g203,g194,GENE-GENE,0.198962589
g187,g194,GENE-GENE,0.198962589
g207,g194,GENE-GENE,0.198962589
g190,g194,GENE-GENE,0.198962589
g197,g194,GENE-GENE,0.198962589
g209,g194,GENE-GENE,0.198962589
g183,g194,GENE-GENE,0.198962589
g204,g194,GENE-GENE,0.198962589
g198,g194,GENE-GENE,0.198962589
g188,g194,GENE-GENE,0.198962589
g181,g194,GENE-GENE,0.198962589
g198,g193,GENE-GENE,0.195235865
g192,g193,GENE-GENE,0.195235865
g189,g193,GENE-GENE,0.219952048
g197,g193,GENE-GENE,0.195235865
g207,g193,GENE-GENE,0.195235865
g183,g193,GENE-GENE,0.195235865
g195,g193,GENE-GENE,0.195235865
g203,g193,GENE-GENE,0.195235865
g187,g193,GENE-GENE,0.195235865
g184,g193,GENE-GENE,0.195235865
g209,g193,GENE-GENE,0.195235865
g190,g193,GENE-GENE,0.195235865
g194,g193,GENE-GENE,0.195235865
g199,g193,GENE-GENE,0.195235865
g182,g193,GENE-GENE,0.195235865
g181,g193,GENE-GENE,0.195235865
g204,g193,GENE-GENE,0.195235865
g188,g193,GENE-GENE,0.195235865
g272,g334,GENE-GENE,0.179480765
g203,g213,GENE-GENE,0.198962589
g199,g213,GENE-GENE,0.198962589
g188,g213,GENE-GENE,0.198962589
g192,g213,GENE-GENE,0.198962589
g181,g213,GENE-GENE,0.198962589
g197,g213,GENE-GENE,0.198962589
g194,g213,GENE-GENE,0.198962589
g207,g213,GENE-GENE,0.198962589
g189,g213,GENE-GENE,0.219952048
g187,g213,GENE-GENE,0.198962589
g204,g213,GENE-GENE,0.198962589
g184,g213,GENE-GENE,0.198962589
g183,g213,GENE-GENE,0.198962589
g193,g213,GENE-GENE,0.195235865
g182,g213,GENE-GENE,0.198962589
g209,g213,GENE-GENE,0.198962589
g195,g213,GENE-GENE,0.198962589
g190,g213,GENE-GENE,0.198962589
g198,g213,GENE-GENE,0.198962589
g197,g205,GENE-GENE,0.198962589
g198,g205,GENE-GENE,0.198962589
g203,g205,GENE-GENE,0.198962589
g199,g205,GENE-GENE,0.198962589
g190,g205,GENE-GENE,0.198962589
g187,g205,GENE-GENE,0.198962589
g204,g205,GENE-GENE,0.198962589
g213,g205,GENE-GENE,0.198962589
g188,g205,GENE-GENE,0.198962589
g189,g205,GENE-GENE,0.219952048
g184,g205,GENE-GENE,0.198962589
g207,g205,GENE-GENE,0.198962589
g193,g205,GENE-GENE,0.195235865
g183,g205,GENE-GENE,0.198962589
g195,g205,GENE-GENE,0.198962589
g209,g205,GENE-GENE,0.198962589
g181,g205,GENE-GENE,0.198962589
g182,g205,GENE-GENE,0.198962589
g194,g205,GENE-GENE,0.198962589
g192,g205,GENE-GENE,0.198962589
g198,g196,GENE-GENE,0.198962589
g204,g196,GENE-GENE,0.198962589
g190,g196,GENE-GENE,0.198962589
g213,g196,GENE-GENE,0.198962589
g194,g196,GENE-GENE,0.198962589
g192,g196,GENE-GENE,0.198962589
g205,g196,GENE-GENE,0.198962589
g209,g196,GENE-GENE,0.198962589
g207,g196,GENE-GENE,0.198962589
g197,g196,GENE-GENE,0.198962589
g187,g196,GENE-GENE,0.198962589
g188,g196,GENE-GENE,0.198962589
g189,g196,GENE-GENE,0.219952048
g199,g196,GENE-GENE,0.198962589
g183,g196,GENE-GENE,0.198962589
g195,g196,GENE-GENE,0.198962589
g181,g196,GENE-GENE,0.198962589
g203,g196,GENE-GENE,0.198962589
g184,g196,GENE-GENE,0.198962589
g193,g196,GENE-GENE,0.195235865
g182,g196,GENE-GENE,0.198962589
g268,g33,GENE-GENE,0.189548745
g220,g33,GENE-GENE,0.219952048
g261,g33,GENE-GENE,0.219952048
g188,g186,GENE-GENE,0.198962589
g195,g186,GENE-GENE,0.198962589
g209,g186,GENE-GENE,0.198962589
g199,g186,GENE-GENE,0.198962589
g203,g186,GENE-GENE,0.198962589
g205,g186,GENE-GENE,0.198962589
g182,g186,GENE-GENE,0.198962589
g198,g186,GENE-GENE,0.198962589
g192,g186,GENE-GENE,0.198962589
g187,g186,GENE-GENE,0.198962589
g184,g186,GENE-GENE,0.198962589
g193,g186,GENE-GENE,0.19176462
g213,g186,GENE-GENE,0.198962589
g196,g186,GENE-GENE,0.198962589
g189,g186,GENE-GENE,0.219952048
g204,g186,GENE-GENE,0.198962589
g194,g186,GENE-GENE,0.198962589
g183,g186,GENE-GENE,0.198962589
g190,g186,GENE-GENE,0.198962589
g181,g186,GENE-GENE,0.198962589
g207,g186,GENE-GENE,0.198962589
g197,g186,GENE-GENE,0.198962589
g199,g201,GENE-GENE,0.198962589
g184,g201,GENE-GENE,0.198962589
g213,g201,GENE-GENE,0.198962589
g193,g201,GENE-GENE,0.195235865
g192,g201,GENE-GENE,0.198962589
g198,g201,GENE-GENE,0.198962589
g190,g201,GENE-GENE,0.198962589
g197,g201,GENE-GENE,0.198962589
g189,g201,GENE-GENE,0.219952048
g181,g201,GENE-GENE,0.198962589
g187,g201,GENE-GENE,0.198962589
g194,g201,GENE-GENE,0.198962589
g205,g201,GENE-GENE,0.198962589
g203,g201,GENE-GENE,0.198962589
g207,g201,GENE-GENE,0.198962589
g186,g201,GENE-GENE,0.198962589
g195,g201,GENE-GENE,0.198962589
g209,g201,GENE-GENE,0.198962589
g196,g201,GENE-GENE,0.198962589
g188,g201,GENE-GENE,0.198962589
g182,g201,GENE-GENE,0.198962589
g204,g201,GENE-GENE,0.198962589
g183,g201,GENE-GENE,0.198962589
g201,g202,GENE-GENE,0.198962589
g186,g202,GENE-GENE,0.198962589
g204,g202,GENE-GENE,0.198962589
g198,g202,GENE-GENE,0.198962589
g184,g202,GENE-GENE,0.198962589
g193,g202,GENE-GENE,0.195235865
g205,g202,GENE-GENE,0.198962589
g188,g202,GENE-GENE,0.198962589
g207,g202,GENE-GENE,0.198962589
g190,g202,GENE-GENE,0.198962589
g183,g202,GENE-GENE,0.198962589
g195,g202,GENE-GENE,0.198962589
g181,g202,GENE-GENE,0.198962589
g192,g202,GENE-GENE,0.198962589
g203,g202,GENE-GENE,0.198962589
g197,g202,GENE-GENE,0.198962589
g189,g202,GENE-GENE,0.219952048
g187,g202,GENE-GENE,0.198962589
g182,g202,GENE-GENE,0.198962589
g196,g202,GENE-GENE,0.198962589
g199,g202,GENE-GENE,0.198962589
g194,g202,GENE-GENE,0.198962589
g213,g202,GENE-GENE,0.198962589
g209,g202,GENE-GENE,0.198962589
g156,g129,GENE-GENE,0.188393944
g186,g208,GENE-GENE,0.187167457
g198,g208,GENE-GENE,0.198962589
g199,g208,GENE-GENE,0.198962589
g190,g208,GENE-GENE,0.198962589
g192,g208,GENE-GENE,0.198962589
g204,g208,GENE-GENE,0.198962589
g203,g208,GENE-GENE,0.198962589
g201,g208,GENE-GENE,0.198962589
g196,g208,GENE-GENE,0.198962589
g195,g208,GENE-GENE,0.198962589
g182,g208,GENE-GENE,0.198962589
g194,g208,GENE-GENE,0.198962589
g213,g208,GENE-GENE,0.198962589
g184,g208,GENE-GENE,0.198962589
g183,g208,GENE-GENE,0.198962589
g189,g208,GENE-GENE,0.219952048
g188,g208,GENE-GENE,0.198962589
g209,g208,GENE-GENE,0.198962589
g181,g208,GENE-GENE,0.198962589
g207,g208,GENE-GENE,0.198962589
g205,g208,GENE-GENE,0.198962589
g187,g208,GENE-GENE,0.198962589
g197,g208,GENE-GENE,0.198962589
g193,g208,GENE-GENE,0.19176462
g202,g208,GENE-GENE,0.198962589
g39,g311,GENE-GENE,0.181651384
g310,g311,GENE-GENE,0.181651384
g282,g281,GENE-GENE,0.184449799
g280,g281,GENE-GENE,0.184449799
g35,g36,GENE-GENE,0.184449799
g12,g7,GENE-GENE,0.184449799
g131,g130,GENE-GENE,0.184449799
g75,g126,GENE-GENE,0.188393944
g146,g147,GENE-GENE,0.177741372
g340,g147,GENE-GENE,0.177741372
g233,g232,GENE-GENE,0.181651384
g231,g232,GENE-GENE,0.181651384
g201,g200,GENE-GENE,0.198962589
g189,g200,GENE-GENE,0.219952048
g199,g200,GENE-GENE,0.198962589
g188,g200,GENE-GENE,0.198962589
g197,g200,GENE-GENE,0.198962589
g190,g200,GENE-GENE,0.198962589
g208,g200,GENE-GENE,0.198962589
g192,g200,GENE-GENE,0.198962589
g198,g200,GENE-GENE,0.198962589
g195,g200,GENE-GENE,0.198962589
g203,g200,GENE-GENE,0.198962589
g181,g200,GENE-GENE,0.198962589
g196,g200,GENE-GENE,0.198962589
g187,g200,GENE-GENE,0.198962589
g204,g200,GENE-GENE,0.198962589
g213,g200,GENE-GENE,0.198962589
g186,g200,GENE-GENE,0.198962589
g202,g200,GENE-GENE,0.198962589
g205,g200,GENE-GENE,0.198962589
g182,g200,GENE-GENE,0.198962589
g207,g200,GENE-GENE,0.198962589
g193,g200,GENE-GENE,0.195235865
g184,g200,GENE-GENE,0.198962589
g194,g200,GENE-GENE,0.198962589
g209,g200,GENE-GENE,0.198962589
g183,g200,GENE-GENE,0.198962589
g182,g211,GENE-GENE,0.198962589
g205,g211,GENE-GENE,0.198962589
g190,g211,GENE-GENE,0.198962589
g184,g211,GENE-GENE,0.198962589
g208,g211,GENE-GENE,0.198962589
g200,g211,GENE-GENE,0.198962589
g199,g211,GENE-GENE,0.198962589
g188,g211,GENE-GENE,0.198962589
g187,g211,GENE-GENE,0.198962589
g209,g211,GENE-GENE,0.198962589
g203,g211,GENE-GENE,0.198962589
g194,g211,GENE-GENE,0.198962589
g192,g211,GENE-GENE,0.198962589
g186,g211,GENE-GENE,0.198962589
g204,g211,GENE-GENE,0.198962589
g195,g211,GENE-GENE,0.198962589
g193,g211,GENE-GENE,0.195235865
g196,g211,GENE-GENE,0.198962589
g197,g211,GENE-GENE,0.198962589
g202,g211,GENE-GENE,0.198962589
g198,g211,GENE-GENE,0.198962589
g183,g211,GENE-GENE,0.198962589
g213,g211,GENE-GENE,0.198962589
g201,g211,GENE-GENE,0.198962589
g181,g211,GENE-GENE,0.198962589
g207,g211,GENE-GENE,0.198962589
g189,g211,GENE-GENE,0.219952048
g231,g230,GENE-GENE,0.181651384
g232,g230,GENE-GENE,0.181651384
g222,g46,GENE-GENE,0.181651384
g96,g46,GENE-GENE,0.181651384
g134,g163,GENE-GENE,0.179480765
g165,g163,GENE-GENE,0.179480765
g164,g163,GENE-GENE,0.179480765
g143,g163,GENE-GENE,0.179480765
g69,g6,GENE-GENE,0.195136504
g182,g206,GENE-GENE,0.198962589
g187,g206,GENE-GENE,0.198962589
g192,g206,GENE-GENE,0.198962589
g190,g206,GENE-GENE,0.198962589
g195,g206,GENE-GENE,0.198962589
g203,g206,GENE-GENE,0.198962589
g186,g206,GENE-GENE,0.198962589
g184,g206,GENE-GENE,0.198962589
g194,g206,GENE-GENE,0.198962589
g197,g206,GENE-GENE,0.198962589
g189,g206,GENE-GENE,0.219952048
g213,g206,GENE-GENE,0.198962589
g193,g206,GENE-GENE,0.195235865
g181,g206,GENE-GENE,0.198962589
g211,g206,GENE-GENE,0.198962589
g201,g206,GENE-GENE,0.198962589
g208,g206,GENE-GENE,0.198962589
g202,g206,GENE-GENE,0.198962589
g198,g206,GENE-GENE,0.198962589
g199,g206,GENE-GENE,0.198962589
g205,g206,GENE-GENE,0.198962589
g196,g206,GENE-GENE,0.198962589
g207,g206,GENE-GENE,0.198962589
g204,g206,GENE-GENE,0.198962589
g188,g206,GENE-GENE,0.198962589
g209,g206,GENE-GENE,0.198962589
g200,g206,GENE-GENE,0.198962589
g183,g206,GENE-GENE,0.198962589
g4,g3,GENE-GENE,0.180046209
g5,g3,GENE-GENE,0.192464828
g205,g212,GENE-GENE,0.198962589
g213,g212,GENE-GENE,0.198962589
g190,g212,GENE-GENE,0.198962589
g187,g212,GENE-GENE,0.198962589
g211,g212,GENE-GENE,0.198962589
g184,g212,GENE-GENE,0.198962589
g193,g212,GENE-GENE,0.195235865
g189,g212,GENE-GENE,0.219952048
g199,g212,GENE-GENE,0.198962589
g202,g212,GENE-GENE,0.198962589
g204,g212,GENE-GENE,0.198962589
g197,g212,GENE-GENE,0.198962589
g200,g212,GENE-GENE,0.198962589
g209,g212,GENE-GENE,0.198962589
g208,g212,GENE-GENE,0.198962589
g201,g212,GENE-GENE,0.198962589
g206,g212,GENE-GENE,0.198962589
g182,g212,GENE-GENE,0.198962589
g186,g212,GENE-GENE,0.198962589
g203,g212,GENE-GENE,0.198962589
g194,g212,GENE-GENE,0.198962589
g207,g212,GENE-GENE,0.198962589
g198,g212,GENE-GENE,0.198962589
g196,g212,GENE-GENE,0.198962589
g188,g212,GENE-GENE,0.198962589
g195,g212,GENE-GENE,0.198962589
g183,g212,GENE-GENE,0.198962589
g181,g212,GENE-GENE,0.198962589
g192,g212,GENE-GENE,0.198962589
g93,g94,GENE-GENE,0.186165649
g257,g37,GENE-GENE,0.181651384
g123,g122,GENE-GENE,0.188393944
g113,g28,GENE-GENE,0.181651384
g112,g28,GENE-GENE,0.181651384
g54,g59,GENE-GENE,0.219952048
g109,g59,GENE-GENE,0.219952048
g57,g59,GENE-GENE,0.219952048
g53,g59,GENE-GENE,0.219952048
g58,g59,GENE-GENE,0.219952048
g52,g59,GENE-GENE,0.219952048
g56,g59,GENE-GENE,0.219952048
g55,g59,GENE-GENE,0.219952048
g221,g166,GENE-GENE,0.181651384
g167,g166,GENE-GENE,0.181651384
g168,g166,GENE-GENE,0.181651384
g334,g271,GENE-GENE,0.179480765
g272,g271,GENE-GENE,0.179480765
g106,g92,GENE-GENE,0.184449799
g99,g92,GENE-GENE,0.184449799
g51,g243,GENE-GENE,0.179480765
g137,g239,GENE-GENE,0.179612681
g269,g273,GENE-GENE,0.179480765
g23,g70,GENE-GENE,0.181651384
g261,g259,GENE-GENE,0.219952048
g268,g259,GENE-GENE,0.186239249
g220,g259,GENE-GENE,0.219952048
g276,g259,GENE-GENE,0.180260856
