from,to,type,weight
g373,g480,GENE-GENE,0.216798256
g509,g480,GENE-GENE,0.217890571
g372,g480,GENE-GENE,0.21701426
g378,g480,GENE-GENE,0.218826684
g444,g480,GENE-GENE,0.218034852
g418,g480,GENE-GENE,0.215883957
g519,g478,GENE-GENE,0.21477944
g509,g478,GENE-GENE,0.213859873
g371,g478,GENE-GENE,0.212998905
g474,g478,GENE-GENE,0.213154184
g449,g478,GENE-GENE,0.214443002
g370,g478,GENE-GENE,0.213297078
g378,g478,GENE-GENE,0.218185787
g376,g478,GENE-GENE,0.218695898
g444,g478,GENE-GENE,0.213931967
g375,g478,GENE-GENE,0.215805855
g367,g478,GENE-GENE,0.21814706
g364,g364,GENE-GENE,0.218033003
g507,g555,GENE-GENE,0.217561342
g523,g520,GENE-GENE,0.214198807
g555,g556,GENE-GENE,0.215394642
g541,g556,GENE-GENE,0.218874469
g358,g556,GENE-GENE,0.214756056
g390,g556,GENE-GENE,0.214187253
g445,g556,GENE-GENE,0.216713869
g472,g556,GENE-GENE,0.213055008
g493,g556,GENE-GENE,0.215205164
g572,g556,GENE-GENE,0.213525375
g425,g556,GENE-GENE,0.214609003
g575,g556,GENE-GENE,0.216153385
g536,g556,GENE-GENE,0.216297388
g537,g556,GENE-GENE,0.21740671
g539,g439,GENE-GENE,0.215420984
g512,g439,GENE-GENE,0.214127637
g463,g439,GENE-GENE,0.215913811
g530,g439,GENE-GENE,0.213197348
g510,g439,GENE-GENE,0.213361223
g389,g389,GENE-GENE,0.213414554
g492,g359,GENE-GENE,0.213185055
g506,g516,GENE-GENE,0.21442313
g416,g516,GENE-GENE,0.215794301
g572,g516,GENE-GENE,0.214839241
g573,g516,GENE-GENE,0.213776872
g493,g516,GENE-GENE,0.213812919
g563,g516,GENE-GENE,0.213026356
g571,g516,GENE-GENE,0.213167309
g358,g516,GENE-GENE,0.215214222
g576,g365,GENE-GENE,0.214305746
g367,g548,GENE-GENE,0.217981798
g441,g548,GENE-GENE,0.216700929
g444,g548,GENE-GENE,0.216916841
g443,g548,GENE-GENE,0.216177508
g373,g548,GENE-GENE,0.219970112
g467,g548,GENE-GENE,0.215464333
g479,g548,GENE-GENE,0.215045633
g555,g531,GENE-GENE,0.21445548
g482,g482,GENE-GENE,0.21965447
g438,g482,GENE-GENE,0.213646456
g441,g376,GENE-GENE,0.213350779
g444,g376,GENE-GENE,0.217940852
g378,g376,GENE-GENE,0.217772818
g449,g376,GENE-GENE,0.2141171
g562,g376,GENE-GENE,0.216490747
g564,g376,GENE-GENE,0.213455777
g367,g376,GENE-GENE,0.218777697
g436,g563,GENE-GENE,0.214067744
g555,g563,GENE-GENE,0.216424199
g573,g563,GENE-GENE,0.218084671
g507,g563,GENE-GENE,0.218145488
g476,g563,GENE-GENE,0.2129184
g416,g563,GENE-GENE,0.21388224
g358,g563,GENE-GENE,0.215807611
g572,g563,GENE-GENE,0.217319181
g477,g547,GENE-GENE,0.213158251
g546,g494,GENE-GENE,0.214760955
g572,g356,GENE-GENE,0.216688543
g563,g356,GENE-GENE,0.216573193
g358,g356,GENE-GENE,0.213156217
g506,g356,GENE-GENE,0.214856433
g435,g356,GENE-GENE,0.214920763
g507,g356,GENE-GENE,0.214345305
g573,g356,GENE-GENE,0.216266332
g544,g404,GENE-GENE,0.21346807
g531,g404,GENE-GENE,0.213574732
g468,g468,GENE-GENE,0.214221636
g391,g567,GENE-GENE,0.213224984
g379,g567,GENE-GENE,0.21887641
g443,g444,GENE-GENE,0.219162475
g543,g444,GENE-GENE,0.213056949
g526,g538,GENE-GENE,0.215110148
g395,g362,GENE-GENE,0.215321531
g472,g575,GENE-GENE,0.214919931
g425,g575,GENE-GENE,0.215382257
g536,g575,GENE-GENE,0.216276499
g493,g575,GENE-GENE,0.213100576
g358,g575,GENE-GENE,0.215235666
g531,g575,GENE-GENE,0.213407899
g572,g575,GENE-GENE,0.215597244
g537,g575,GENE-GENE,0.216702038
g445,g575,GENE-GENE,0.215001268
g555,g575,GENE-GENE,0.218550139
g541,g575,GENE-GENE,0.219101103
g507,g575,GENE-GENE,0.214137527
g390,g575,GENE-GENE,0.216230377
g453,g487,GENE-GENE,0.215709175
g528,g410,GENE-GENE,0.215120038
g537,g534,GENE-GENE,0.213293473
g581,g534,GENE-GENE,0.214759476
g530,g421,GENE-GENE,0.216790677
g511,g421,GENE-GENE,0.213881686
g463,g421,GENE-GENE,0.218971796
g574,g421,GENE-GENE,0.217395988
g458,g421,GENE-GENE,0.217148836
g510,g421,GENE-GENE,0.215826466
g526,g421,GENE-GENE,0.214661687
g512,g421,GENE-GENE,0.218932884
g539,g421,GENE-GENE,0.218527309
g439,g421,GENE-GENE,0.214684332
g554,g560,GENE-GENE,0.213559112
g357,g560,GENE-GENE,0.216233797
g580,g560,GENE-GENE,0.215886452
g565,g560,GENE-GENE,0.215181318
g531,g560,GENE-GENE,0.216242763
g544,g560,GENE-GENE,0.213218976
g514,g560,GENE-GENE,0.215623864
g555,g560,GENE-GENE,0.213254099
g575,g560,GENE-GENE,0.213227942
g447,g560,GENE-GENE,0.216397025
g441,g369,GENE-GENE,0.21296332
g479,g369,GENE-GENE,0.219913269
g548,g369,GENE-GENE,0.213281273
g449,g369,GENE-GENE,0.218683882
g473,g369,GENE-GENE,0.219469521
g543,g369,GENE-GENE,0.217139685
g443,g369,GENE-GENE,0.215410632
g367,g369,GENE-GENE,0.214351036
g577,g369,GENE-GENE,0.21515248
g562,g369,GENE-GENE,0.213257703
g418,g369,GENE-GENE,0.216623936
g494,g427,GENE-GENE,0.215580515
g546,g427,GENE-GENE,0.214336062
g489,g427,GENE-GENE,0.21619812
g437,g427,GENE-GENE,0.213302993
g422,g423,GENE-GENE,0.214753191
g510,g530,GENE-GENE,0.217376856
g417,g576,GENE-GENE,0.215642996
g443,g467,GENE-GENE,0.216374011
g444,g467,GENE-GENE,0.21469034
g529,g473,GENE-GENE,0.218233295
g378,g473,GENE-GENE,0.218464735
g449,g473,GENE-GENE,0.218257604
g373,g473,GENE-GENE,0.214909856
g367,g473,GENE-GENE,0.218414824
g562,g473,GENE-GENE,0.213141336
g418,g473,GENE-GENE,0.217385821
g577,g473,GENE-GENE,0.21333978
g478,g473,GENE-GENE,0.216857595
g519,g473,GENE-GENE,0.217276479
g479,g473,GENE-GENE,0.216242947
g448,g473,GENE-GENE,0.21459939
g548,g473,GENE-GENE,0.215691891
g376,g473,GENE-GENE,0.213624643
g375,g473,GENE-GENE,0.220184823
g542,g473,GENE-GENE,0.213990012
g532,g473,GENE-GENE,0.215483743
g369,g473,GENE-GENE,0.21517189
g451,g451,GENE-GENE,0.217173237
g418,g374,GENE-GENE,0.215726921
g548,g374,GENE-GENE,0.213009257
g367,g374,GENE-GENE,0.21408586
g428,g521,GENE-GENE,0.213273971
g541,g462,GENE-GENE,0.2151852
g556,g462,GENE-GENE,0.213763193
g575,g462,GENE-GENE,0.21361882
g573,g462,GENE-GENE,0.219717783
g536,g462,GENE-GENE,0.215305911
g507,g462,GENE-GENE,0.218861159
g356,g462,GENE-GENE,0.216950855
g558,g462,GENE-GENE,0.213735464
g563,g462,GENE-GENE,0.217437211
g358,g462,GENE-GENE,0.217780582
g493,g462,GENE-GENE,0.213682965
g433,g462,GENE-GENE,0.215527461
g393,g462,GENE-GENE,0.215388911
g506,g462,GENE-GENE,0.219334576
g395,g462,GENE-GENE,0.217299863
g485,g462,GENE-GENE,0.21699827
g572,g462,GENE-GENE,0.218415286
g476,g462,GENE-GENE,0.214683777
g555,g462,GENE-GENE,0.217147357
g436,g462,GENE-GENE,0.213720584
g510,g574,GENE-GENE,0.216125009
g530,g574,GENE-GENE,0.220746231
g512,g574,GENE-GENE,0.22079568
g526,g574,GENE-GENE,0.21659057
g539,g574,GENE-GENE,0.218290416
g463,g574,GENE-GENE,0.219060342
g439,g574,GENE-GENE,0.213356601
g482,g540,GENE-GENE,0.213325546
g433,g540,GENE-GENE,0.214667787
g555,g540,GENE-GENE,0.215038794
g438,g540,GENE-GENE,0.213975131
g469,g394,GENE-GENE,0.213178123
g510,g526,GENE-GENE,0.219711128
g530,g526,GENE-GENE,0.217965623
g484,g481,GENE-GENE,0.214639689
g539,g458,GENE-GENE,0.215272729
g526,g458,GENE-GENE,0.213008425
g530,g458,GENE-GENE,0.219070601
g574,g458,GENE-GENE,0.220028896
g512,g458,GENE-GENE,0.220639015
g463,g458,GENE-GENE,0.217552931
g510,g458,GENE-GENE,0.21373759
g569,g566,GENE-GENE,0.216209119
g570,g566,GENE-GENE,0.215100443
g453,g518,GENE-GENE,0.218698116
g409,g518,GENE-GENE,0.219160349
g523,g518,GENE-GENE,0.21429068
g487,g518,GENE-GENE,0.218026441
g432,g432,GENE-GENE,0.215752709
g570,g450,GENE-GENE,0.21523317
g474,g542,GENE-GENE,0.214471747
g367,g542,GENE-GENE,0.217352455
g513,g542,GENE-GENE,0.213868284
g460,g542,GENE-GENE,0.216362457
g375,g542,GENE-GENE,0.215467475
g378,g542,GENE-GENE,0.217159188
g444,g542,GENE-GENE,0.216665067
g372,g542,GENE-GENE,0.218840363
g368,g542,GENE-GENE,0.213343477
g418,g542,GENE-GENE,0.219557143
g548,g542,GENE-GENE,0.220682733
g562,g542,GENE-GENE,0.215972965
g443,g542,GENE-GENE,0.214732117
g509,g542,GENE-GENE,0.21324957
g373,g542,GENE-GENE,0.218627131
g467,g542,GENE-GENE,0.216379926
g375,g372,GENE-GENE,0.216322898
g382,g372,GENE-GENE,0.215361368
g479,g372,GENE-GENE,0.213016836
g449,g372,GENE-GENE,0.215628115
g376,g372,GENE-GENE,0.215476533
g378,g372,GENE-GENE,0.216983944
g543,g372,GENE-GENE,0.213871057
g443,g372,GENE-GENE,0.219511206
g441,g372,GENE-GENE,0.213681394
g368,g372,GENE-GENE,0.214202966
g467,g372,GENE-GENE,0.216354693
g513,g372,GENE-GENE,0.216524391
g509,g372,GENE-GENE,0.218801728
g444,g372,GENE-GENE,0.220357941
g373,g372,GENE-GENE,0.219480428
g418,g372,GENE-GENE,0.218724735
g562,g372,GENE-GENE,0.220113376
g367,g372,GENE-GENE,0.218974199
g548,g372,GENE-GENE,0.219177726
g577,g377,GENE-GENE,0.214347986
g576,g377,GENE-GENE,0.216208287
g536,g517,GENE-GENE,0.214473503
g476,g517,GENE-GENE,0.218483868
g358,g517,GENE-GENE,0.216711096
g555,g517,GENE-GENE,0.212948162
g573,g517,GENE-GENE,0.216628465
g395,g517,GENE-GENE,0.214327005
g506,g517,GENE-GENE,0.216109204
g462,g517,GENE-GENE,0.215538183
g507,g517,GENE-GENE,0.219271263
g563,g517,GENE-GENE,0.214867617
g572,g517,GENE-GENE,0.214058501
g390,g461,GENE-GENE,0.213514561
g461,g461,GENE-GENE,0.214312216
g395,g419,GENE-GENE,0.218927245
g548,g460,GENE-GENE,0.215658986
g373,g460,GENE-GENE,0.214091035
g467,g460,GENE-GENE,0.21407939
g372,g460,GENE-GENE,0.213580462
g561,g460,GENE-GENE,0.216996329
g390,g425,GENE-GENE,0.214920578
g358,g425,GENE-GENE,0.216484185
g541,g425,GENE-GENE,0.216635859
g543,g529,GENE-GENE,0.21335235
g577,g529,GENE-GENE,0.216070384
g365,g529,GENE-GENE,0.21643529
g373,g529,GENE-GENE,0.217207712
g372,g529,GENE-GENE,0.214715942
g418,g529,GENE-GENE,0.217541285
g444,g529,GENE-GENE,0.213033195
g479,g529,GENE-GENE,0.217240524
g562,g529,GENE-GENE,0.214894236
g448,g529,GENE-GENE,0.213196516
g548,g529,GENE-GENE,0.216336207
g375,g529,GENE-GENE,0.219650403
g443,g529,GENE-GENE,0.213834178
g576,g529,GENE-GENE,0.212918677
g449,g529,GENE-GENE,0.219509265
g369,g529,GENE-GENE,0.217471317
g378,g529,GENE-GENE,0.215174755
g509,g529,GENE-GENE,0.214530439
g367,g529,GENE-GENE,0.216914623
g473,g529,GENE-GENE,0.215073916
g542,g529,GENE-GENE,0.213628248
g427,g579,GENE-GENE,0.214486998
g494,g579,GENE-GENE,0.215675346
g526,g508,GENE-GENE,0.216102364
g511,g508,GENE-GENE,0.214779995
g533,g508,GENE-GENE,0.214896916
g463,g508,GENE-GENE,0.216162073
g510,g508,GENE-GENE,0.217148928
g459,g508,GENE-GENE,0.214391057
g566,g424,GENE-GENE,0.216337132
g569,g424,GENE-GENE,0.214482469
g570,g569,GENE-GENE,0.219795515
g463,g539,GENE-GENE,0.219625355
g526,g539,GENE-GENE,0.217211317
g510,g539,GENE-GENE,0.216739656
g530,g539,GENE-GENE,0.218227749
g511,g539,GENE-GENE,0.218513445
g360,g568,GENE-GENE,0.217571047
g379,g568,GENE-GENE,0.215659449
g388,g568,GENE-GENE,0.216490932
g391,g568,GENE-GENE,0.214954684
g498,g568,GENE-GENE,0.215553156
g373,g532,GENE-GENE,0.213108247
g548,g532,GENE-GENE,0.213071276
g441,g532,GENE-GENE,0.218010728
g506,g395,GENE-GENE,0.214045284
g507,g395,GENE-GENE,0.218025886
g493,g395,GENE-GENE,0.217275647
g472,g395,GENE-GENE,0.216272617
g563,g395,GENE-GENE,0.214935367
g556,g395,GENE-GENE,0.217281562
g476,g395,GENE-GENE,0.215492523
g536,g395,GENE-GENE,0.219757527
g572,g395,GENE-GENE,0.217568552
g358,g395,GENE-GENE,0.219291967
g445,g395,GENE-GENE,0.219444288
g555,g395,GENE-GENE,0.218626484
g575,g395,GENE-GENE,0.218661607
g537,g395,GENE-GENE,0.217327222
g573,g395,GENE-GENE,0.215913626
g425,g395,GENE-GENE,0.218086427
g541,g395,GENE-GENE,0.219103506
g390,g395,GENE-GENE,0.213979105
g486,g420,GENE-GENE,0.213118969
g483,g503,GENE-GENE,0.213489051
g549,g383,GENE-GENE,0.215007183
g562,g513,GENE-GENE,0.21417875
g443,g513,GENE-GENE,0.214906621
g444,g513,GENE-GENE,0.215655751
g467,g513,GENE-GENE,0.21570252
g382,g513,GENE-GENE,0.214680542
g573,g393,GENE-GENE,0.213502546
g425,g393,GENE-GENE,0.21328765
g541,g393,GENE-GENE,0.213397547
g507,g393,GENE-GENE,0.21394694
g536,g393,GENE-GENE,0.214982505
g445,g393,GENE-GENE,0.218341066
g537,g393,GENE-GENE,0.213822439
g395,g393,GENE-GENE,0.215519328
g556,g393,GENE-GENE,0.214282084
g358,g393,GENE-GENE,0.214106748
g506,g393,GENE-GENE,0.21460013
g533,g511,GENE-GENE,0.215022896
g510,g511,GENE-GENE,0.216079442
g526,g511,GENE-GENE,0.216519123
g539,g511,GENE-GENE,0.217737973
g463,g511,GENE-GENE,0.216534835
g511,g511,GENE-GENE,0.218056388
g463,g459,GENE-GENE,0.216087483
g530,g459,GENE-GENE,0.214825562
g512,g459,GENE-GENE,0.213730288
g533,g459,GENE-GENE,0.214085952
g574,g459,GENE-GENE,0.213464188
g539,g459,GENE-GENE,0.213061478
g526,g459,GENE-GENE,0.217086169
g510,g459,GENE-GENE,0.217151886
g570,g497,GENE-GENE,0.220217727
g499,g497,GENE-GENE,0.214062383
g569,g497,GENE-GENE,0.219205824
g450,g497,GENE-GENE,0.214664182
g566,g497,GENE-GENE,0.21458303
g575,g535,GENE-GENE,0.218443014
g556,g535,GENE-GENE,0.217394602
g563,g535,GENE-GENE,0.215186309
g555,g535,GENE-GENE,0.218722517
g438,g535,GENE-GENE,0.216020011
g393,g535,GENE-GENE,0.214476276
g358,g535,GENE-GENE,0.217704329
g485,g535,GENE-GENE,0.218312044
g572,g535,GENE-GENE,0.217412718
g581,g535,GENE-GENE,0.218067941
g472,g535,GENE-GENE,0.213287558
g395,g535,GENE-GENE,0.219668057
g445,g535,GENE-GENE,0.217526867
g536,g535,GENE-GENE,0.217758954
g505,g535,GENE-GENE,0.214361388
g537,g535,GENE-GENE,0.21588257
g363,g535,GENE-GENE,0.218896282
g558,g535,GENE-GENE,0.214862718
g573,g535,GENE-GENE,0.216099499
g541,g535,GENE-GENE,0.218617149
g357,g535,GENE-GENE,0.213858948
g493,g535,GENE-GENE,0.215308499
g506,g535,GENE-GENE,0.214485334
g462,g535,GENE-GENE,0.217295427
g425,g535,GENE-GENE,0.215746423
g433,g535,GENE-GENE,0.217509952
g395,g357,GENE-GENE,0.215716384
g541,g357,GENE-GENE,0.21358952
g472,g357,GENE-GENE,0.213230992
g536,g357,GENE-GENE,0.214315081
g575,g357,GENE-GENE,0.216786979
g531,g357,GENE-GENE,0.213820221
g555,g357,GENE-GENE,0.215022064
g537,g357,GENE-GENE,0.213808298
g445,g357,GENE-GENE,0.213245503
g409,g409,GENE-GENE,0.21791488
g518,g409,GENE-GENE,0.217944827
g487,g409,GENE-GENE,0.218508176
g453,g409,GENE-GENE,0.214426919
g384,g384,GENE-GENE,0.213565397
g441,g381,GENE-GENE,0.214800052
g406,g438,GENE-GENE,0.216231579
g575,g438,GENE-GENE,0.216644825
g482,g438,GENE-GENE,0.214452245
g555,g438,GENE-GENE,0.216711373
g556,g438,GENE-GENE,0.217236088
g479,g378,GENE-GENE,0.215775816
g367,g378,GENE-GENE,0.22042643
g548,g378,GENE-GENE,0.217266404
g449,g378,GENE-GENE,0.216092567
g474,g378,GENE-GENE,0.216957232
g373,g378,GENE-GENE,0.215737458
g441,g378,GENE-GENE,0.217300325
g443,g378,GENE-GENE,0.214295209
g444,g378,GENE-GENE,0.217306056
g489,g430,GENE-GENE,0.214818907
g383,g442,GENE-GENE,0.213956368
g360,g391,GENE-GENE,0.215828315
g388,g391,GENE-GENE,0.216905657
g573,g506,GENE-GENE,0.220483643
g563,g506,GENE-GENE,0.216615618
g476,g506,GENE-GENE,0.213692393
g555,g506,GENE-GENE,0.214931577
g507,g506,GENE-GENE,0.218497362
g358,g506,GENE-GENE,0.215416085
g416,g506,GENE-GENE,0.213820776
g572,g506,GENE-GENE,0.216241746
g436,g506,GENE-GENE,0.214346692
g485,g505,GENE-GENE,0.21765414
g472,g505,GENE-GENE,0.214511399
g493,g505,GENE-GENE,0.216668117
g358,g505,GENE-GENE,0.217020915
g507,g505,GENE-GENE,0.213343662
g476,g505,GENE-GENE,0.214294747
g445,g505,GENE-GENE,0.215704923
g537,g505,GENE-GENE,0.213248091
g572,g505,GENE-GENE,0.214453723
g536,g505,GENE-GENE,0.216902699
g575,g505,GENE-GENE,0.21347075
g556,g505,GENE-GENE,0.214155643
g425,g505,GENE-GENE,0.215928322
g395,g505,GENE-GENE,0.217205402
g555,g505,GENE-GENE,0.213730381
g462,g505,GENE-GENE,0.213848966
g541,g505,GENE-GENE,0.215427731
g416,g515,GENE-GENE,0.214606045
g368,g366,GENE-GENE,0.214835359
g452,g366,GENE-GENE,0.21481216
g449,g366,GENE-GENE,0.219125966
g509,g366,GENE-GENE,0.217864784
g418,g366,GENE-GENE,0.220846793
g479,g366,GENE-GENE,0.218649037
g480,g366,GENE-GENE,0.218039935
g378,g366,GENE-GENE,0.218692386
g543,g366,GENE-GENE,0.214773895
g372,g366,GENE-GENE,0.219099901
g369,g366,GENE-GENE,0.217624563
g444,g366,GENE-GENE,0.217779473
g376,g366,GENE-GENE,0.214157491
g542,g366,GENE-GENE,0.218603008
g375,g366,GENE-GENE,0.2203914
g373,g366,GENE-GENE,0.21938495
g467,g366,GENE-GENE,0.214231064
g456,g366,GENE-GENE,0.218058975
g367,g366,GENE-GENE,0.219882398
g478,g366,GENE-GENE,0.213703299
g443,g366,GENE-GENE,0.217981059
g374,g366,GENE-GENE,0.216022784
g529,g366,GENE-GENE,0.218966805
g548,g366,GENE-GENE,0.220047659
g382,g366,GENE-GENE,0.21457351
g519,g456,GENE-GENE,0.216934957
g375,g456,GENE-GENE,0.219812799
g491,g456,GENE-GENE,0.214474797
g488,g456,GENE-GENE,0.215635972
g449,g456,GENE-GENE,0.218429612
g372,g456,GENE-GENE,0.213462154
g376,g456,GENE-GENE,0.215223835
g532,g456,GENE-GENE,0.216036093
g367,g456,GENE-GENE,0.218646541
g478,g456,GENE-GENE,0.217442942
g529,g456,GENE-GENE,0.218516402
g418,g456,GENE-GENE,0.216462095
g509,g456,GENE-GENE,0.213236445
g480,g456,GENE-GENE,0.219034185
g548,g456,GENE-GENE,0.215383181
g369,g456,GENE-GENE,0.213641003
g542,g456,GENE-GENE,0.213748312
g444,g456,GENE-GENE,0.213116843
g562,g456,GENE-GENE,0.213852941
g378,g456,GENE-GENE,0.21838765
g373,g456,GENE-GENE,0.215684681
g479,g456,GENE-GENE,0.215827391
g381,g456,GENE-GENE,0.213200398
g573,g536,GENE-GENE,0.213289037
g541,g536,GENE-GENE,0.217193109
g476,g536,GENE-GENE,0.21659935
g358,g536,GENE-GENE,0.219945988
g390,g536,GENE-GENE,0.214290126
g472,g536,GENE-GENE,0.21862824
g571,g536,GENE-GENE,0.213085325
g425,g536,GENE-GENE,0.218918834
g572,g536,GENE-GENE,0.216290086
g507,g536,GENE-GENE,0.216954829
g537,g536,GENE-GENE,0.216903439
g555,g536,GENE-GENE,0.215137045
g493,g536,GENE-GENE,0.219645042
g444,g382,GENE-GENE,0.215769438
g543,g382,GENE-GENE,0.213490622
g479,g382,GENE-GENE,0.213894533
g369,g382,GENE-GENE,0.212982452
g443,g382,GENE-GENE,0.218152235
g562,g382,GENE-GENE,0.214947937
g367,g382,GENE-GENE,0.21407292
g418,g382,GENE-GENE,0.214534968
g467,g382,GENE-GENE,0.21555103
g454,g454,GENE-GENE,0.215969915
g580,g447,GENE-GENE,0.218181628
g554,g447,GENE-GENE,0.217416507
g557,g557,GENE-GENE,0.217463369
g416,g358,GENE-GENE,0.214921595
g571,g358,GENE-GENE,0.215209416
g555,g358,GENE-GENE,0.215731635
g507,g358,GENE-GENE,0.219243165
g441,g479,GENE-GENE,0.214650688
g543,g479,GENE-GENE,0.213882333
g443,g479,GENE-GENE,0.214724723
g367,g562,GENE-GENE,0.21786996
g488,g562,GENE-GENE,0.214036873
g456,g562,GENE-GENE,0.212936053
g444,g562,GENE-GENE,0.216259584
g478,g562,GENE-GENE,0.218803669
g372,g562,GENE-GENE,0.213309833
g355,g562,GENE-GENE,0.215725257
g562,g562,GENE-GENE,0.21405351
g480,g562,GENE-GENE,0.216948729
g378,g562,GENE-GENE,0.216773393
g376,g562,GENE-GENE,0.219576923
g509,g562,GENE-GENE,0.215161631
g555,g433,GENE-GENE,0.219137519
g507,g433,GENE-GENE,0.213740271
g572,g433,GENE-GENE,0.214698196
g573,g433,GENE-GENE,0.215027333
g563,g433,GENE-GENE,0.213327024
g575,g433,GENE-GENE,0.217775776
g436,g433,GENE-GENE,0.216119556
g537,g433,GENE-GENE,0.213264081
g395,g433,GENE-GENE,0.216489453
g541,g433,GENE-GENE,0.21801461
g581,g433,GENE-GENE,0.217613842
g506,g433,GENE-GENE,0.213074234
g556,g433,GENE-GENE,0.216313378
g438,g433,GENE-GENE,0.220163934
g485,g433,GENE-GENE,0.214069685
g515,g411,GENE-GENE,0.213858948
g416,g411,GENE-GENE,0.214701061
g466,g495,GENE-GENE,0.214586635
g401,g495,GENE-GENE,0.216038312
g434,g514,GENE-GENE,0.213783065
g357,g514,GENE-GENE,0.213232008
g414,g514,GENE-GENE,0.213179047
g581,g514,GENE-GENE,0.214046762
g555,g514,GENE-GENE,0.214096951
g356,g465,GENE-GENE,0.214068298
g515,g465,GENE-GENE,0.213116566
g543,g373,GENE-GENE,0.213078855
g443,g373,GENE-GENE,0.216348685
g444,g373,GENE-GENE,0.217405046
g441,g373,GENE-GENE,0.217220098
g381,g373,GENE-GENE,0.215372829
g429,g417,GENE-GENE,0.216710819
g415,g415,GENE-GENE,0.214684609
g569,g500,GENE-GENE,0.213212136
g566,g500,GENE-GENE,0.214493837
g497,g500,GENE-GENE,0.213240604
g570,g500,GENE-GENE,0.214696347
g548,g380,GENE-GENE,0.21299225
g381,g380,GENE-GENE,0.213580925
g386,g380,GENE-GENE,0.213360391
g372,g380,GENE-GENE,0.213025616
g373,g380,GENE-GENE,0.216565337
g558,g490,GENE-GENE,0.213009626
g572,g558,GENE-GENE,0.215121702
g541,g558,GENE-GENE,0.213191155
g493,g558,GENE-GENE,0.21404972
g485,g558,GENE-GENE,0.214675366
g358,g558,GENE-GENE,0.215153312
g395,g558,GENE-GENE,0.214871314
g536,g558,GENE-GENE,0.213681671
g548,g368,GENE-GENE,0.213443392
g418,g368,GENE-GENE,0.215414884
g367,g368,GENE-GENE,0.213760512
g533,g533,GENE-GENE,0.213572514
g539,g533,GENE-GENE,0.220970369
g463,g533,GENE-GENE,0.215016888
g526,g533,GENE-GENE,0.216096819
g510,g533,GENE-GENE,0.217404122
g511,g533,GENE-GENE,0.218553836
g541,g537,GENE-GENE,0.218081066
g555,g537,GENE-GENE,0.213807558
